Page,"Production Name","Start Date","End Date"
2,"Children Ruin Everything - Season 3","Apr 17 2023","Jun 06 2023"
2,"Cruel Intentions- Season 1 Sony",,
3,"Davey and Jonesie's Locker - Season 1","Apr 10 2023","Jun 01 2023"
4,"Double Quince (Ottawa) Muse Entertainment","Apr 12 2023","May 02 2023"
5,"Everything's Going to be Great (North Bay)","Apr 21 2023","May 26 2023"
6,"Fairview, Season 1 Independent","May 01 2023","Dec 21 2023"
7,"Forever Young - Season 3 Universal City Studios LLC.","Apr 27 2023","Aug 28 2023"
8,"Gnome for Christmas (Ottawa)","Apr 24 2023","May 11 2023"
9,"Lily & Isaac - Season 3 CBS Studios Inc.","May 02 2023","Sep 28 2023"
10,"Malory Towers - Season 5 King Bert Productions Ltd.","May 31 2023","Sep 29 2023"
10,"Monk Universal Content Productions LLC.","May 01 2023","May 30 2023"
11,"Murder for Mommy: The Mary Bailey Story (Ottawa)","Apr 20 2023","May 11 2023"
12,"Shoresy - Season 2 (Sudbury)","Apr 10 2023","May 11 2023"
13,"Shrouds, The Independent","May 08 2023","Jun 20 2023"
14,"Silent Hour, The (Post + 2 Day Kitchener Shoot)","Apr 12 2023","Apr 13 2023"
14,"Sort Of - Season 3 Sphere Media Toronto Inc.","May 08 2023","Jun 26 2023"
15,"1266 20th Television","Apr 03 2023","Apr 12 2023"
15,"Aki Independent","Jul 20 2022","Jul 14 2023"
16,"Aunty B's House Web-Series/New Media","Mar 29 2023","May 11 2023"
16,"Boys, The - Season 4 Screen Gems (Canada) Limited","Aug 22 2022","Apr 11 2023"
17,"Butt Seriously Independent","Apr 01 2023","Jun 30 2023"
17,"Christmas Revisited (Ottawa)","Mar 27 2023","Apr 14 2023"
18,"Cross - Season 1 Paramount Pictures Corporation","Jan 24 2023","May 01 2023"
19,"Eleos S2 (Toronto & Korea) Media Res Productions, LLC","Feb 01 2023","May 05 2023"
20,"Everybody Dance Elevation Pictures Productions","Dec 11 2022","Apr 07 2023"
20,"Farm Crime - Season 3 Web Series","Apr 01 2023","May 31 2023"
21,"Foundation - Season 3 (Czech Republic)","Apr 03 2023","Jul 12 2023"
