"Production Number","Production Name",URL
55705,"Foundation - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=55705&action_productionview2=Submit
55840,"Long Rider, The",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=55840&action_productionview2=Submit
56083,"Jane - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56083&action_productionview2=Submit
56444,"Beacon 23",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56444&action_productionview2=Submit
56538,"Desert Warrior",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56538&action_productionview2=Submit
56761,"Black Life, A Canadian History",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56761&action_productionview2=Submit
56906,Accused,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56906&action_productionview2=Submit
56935,"PAW Patrol: The Mighty Movie",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56935&action_productionview2=Submit
56995,"Changeling, The - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=56995&action_productionview2=Submit
57226,Aki,https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57226&action_productionview2=Submit
57279,"Lady in the Lake",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57279&action_productionview2=Submit
57303,"Fashionably Date",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57303&action_productionview2=Submit
57388,"We Could Be Heroes",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57388&action_productionview2=Submit
57394,"Murdoch Mysteries - Season 16",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57394&action_productionview2=Submit
57405,"Popularity Papers - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57405&action_productionview2=Submit
57413,"Fellow Travelers",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57413&action_productionview2=Submit
57414,"Valhalla - Season 3",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57414&action_productionview2=Submit
57415,"Beyond Black Beauty",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57415&action_productionview2=Submit
57441,"Orphan Black: Echoes - Season 1",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57441&action_productionview2=Submit
57528,"From - Season 2",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57528&action_productionview2=Submit
57529,"Silver - Season 2 (Post Only)",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57529&action_productionview2=Submit
57533,"My Old Ass",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57533&action_productionview2=Submit
57538,"Little Mouth",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57538&action_productionview2=Submit
57585,"Queen of Bones",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57585&action_productionview2=Submit
57639,"Sunset Superman",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57639&action_productionview2=Submit
57690,"Bam Bam: The Story of Sister Nancy",https://www.dgc.ca/en/ontario/avails-and-production-lists/ontario-productions/productionViewForm?p=57690&action_productionview2=Submit
